Brand,Color,Type,Size,Spinspeed,Rating,No_of_reviews,No_of_Ratings,Price
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
Haier,Grey,Fully Automatic Top Load,8.0,1200.0,4.3,2106,23856,17990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
Thomson,Grey,Fully Automatic Top Load,7.0,840.0,4.0,289,1730,11490.0
realme,Black,Fully Automatic Top Load,5.0,700.0,3.9,32,366,11290.0
MarQ,Grey,Fully Automatic Top Load,5.0,705.0,4.0,151,1436,10890.0
SAMSUNG,Silver,Fully Automatic Front Load,7.0,1000.0,4.4,1533,17279,29990.0
Whirlpool,Grey,Fully Automatic Front Load,8.0,740.0,5.0,1,6,34990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,30990.0
SAMSUNG,Grey,Fully Automatic Top Load,8.0,700.0,4.3,1119,15958,21190.0
IFB,Grey,Fully Automatic Front Load,5.0,1000.0,4.3,8031,77392,26490.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
IFB,Grey,Fully Automatic Front Load,8.0,1200.0,4.3,8031,77392,33990.0
BOSCH,Grey,Fully Automatic Top Load,5.0,680.0,4.3,120,1254,21490.0
ONIDA,Maroon,Fully Automatic Top Load,9.0,780.0,4.2,2967,26931,6490.0
LG,Silver,Fully Automatic Top Load,5.0,700.0,4.4,43,438,18790.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
Thomson,Black,Semi Automatic Top Load,9.0,1120.0,4.0,1023,10907,9490.0
Admiral,Black,Fully Automatic Top Load,5.0,600.0,3.7,0,0,11999.0
